siteid,sitename,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengabbreviation,itemvalue,itemunit,note
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,葉綠素a,Chl_a,4.1,μg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總磷,TP,0.016,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,正磷酸鹽,PO4,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,溶氧飽和度,DOS,86.3,%,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,溶氧(滴定法),DO2,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總鹼度,TAlk,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總硬度,TH,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總氮,TN,0.44,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,亞硝酸鹽氮,NO2_N,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,硝酸鹽氮,NO3_N,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總凱氏氮,TKN,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,有機氮,Norg,-,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,氨氮,NH3_N,<0.01,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,總有機碳,TOC,1.24,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,化學需氧量,COD,<4.0,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,溶氧(電極法),DO,7.3,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,懸浮固體,SS,5.3,mg/L,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,氣溫,TMP,21.8,℃,
2171,烏山頭水庫三,烏山頭水庫,臺南市,官田區,120.3816900,23.2071180,186711.91,2567352.80,"2025-11-20 11:38:22",表水,0.5,採樣深度,SampleDepth,0.5,m,
