siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,懸浮固體,"Suspended Solid",SS,3.1,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,氣溫,Temperature,TMP,20.1,℃,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,採樣深度,"Sampling Depth",SampleDepth,22.0,m,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,導電度,Conductivity,EC,450,μmho/cm25℃,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,濁度,Turbidity,TB,2.4,NTU,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,酸鹼值,pH,pH,8.29," ",
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",底水,22.0,水溫,"Water Temperature",WT,23.0,℃,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,葉綠素a,Chlorophyl-A,Chl_a,5.0,μg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,總磷,Total-Phosphate,TP,0.014,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,92.6,%,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,氨氮,NH3-N,NH3_N,0.02,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,總有機碳,"Total Organic Carbon",TOC,0.61,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,化學需氧量,"Chemical Oxygen Demand",COD,4.3,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,溶氧(電極法),"Dissolved Oxygen",DO,7.3,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,懸浮固體,"Suspended Solid",SS,2.6,mg/L,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,氣溫,Temperature,TMP,20.1,℃,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,採樣深度,"Sampling Depth",SampleDepth,15.2,m,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,導電度,Conductivity,EC,449,μmho/cm25℃,
2138,日月潭水庫五,"Jih-Yueh-Tan Reservoir V",日月潭水庫,南投縣,,120.9099620,23.8503080,240828.83,2638448.26,"2022-12-14 09:38:00",中下水,15.2,濁度,Turbidity,TB,2.0,NTU,
